trimestre;accessible_au_public;particulier;societe
2024 T1;127287;1089505;754839
2023 T2;101681;837977;599893
2021 T1;37491;308505;269215
2020 T1;31081;173740;167737
2019 T2;27668;124395;119576
2019 T1;27516;116655;113643
2016 T3;12859;52528;55587
2021 T2;43699;360684;307136
2016 T2;13861;48863;52284
2015 T2;10086;29913;37924
2015 T1;8478;25868;34739
2020 T4;34686;268542;237765
2017 T4;19309;80488;79279
2017 T2;19750;69095;69254
2017 T1;17423;63502;64066
2015 T4;11113;37731;42879
2022 T1;57732;516993;392302
2020 T3;33369;223381;198356
2016 T1;12830;43697;48253
2024 T4;154694;1303676;895349
2022 T2;64546;577265;420543
2021 T4;53667;466929;368176
2020 T2;32648;193791;180431
2019 T3;29545;133369;126326
2018 T1;26325;87239;84890
2017 T3;20688;74030;74060
2024 T3;149668;1228264;835390
2023 T3;109856;906728;652061
2023 T1;95755;763304;540855
2022 T4;82107;689672;493370
2022 T3;71630;625430;446333
2019 T4;30203;145313;136298
2018 T3;24319;97987;97075
2018 T2;22283;93312;91385
2025 T1;163656;1365096;937964
2024 T2;138887;1169252;800892
2023 T4;118009;1006944;709070
2018 T4;26254;107727;105380
2016 T4;16220;57554;59716
2015 T3;10928;32533;38671
2021 T3;49086;403811;331828
