annee,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,co2_evite_par_km,co2_evite_par_km_tonnes,co2_evite_total_tonnes,co2_evite_cumule_tonnes
2010,-0.048776364338398596,-0.1003394383174512,0.006271982649461814,-0.048776364338398596,-0.048776364338398596,0.0,0.0,0.0,0.0,0.0,0.0,-0.048776364338398596,-473.4721686328351,-0.00047347216863283514,-6.155138192226857,-6.155138192226857
2011,-0.032914114955588374,-0.09010469878711104,0.02463897374820557,-0.032914114955588374,-0.032914114955588374,0.0,0.0,0.0,0.0,0.0,0.0,-0.032914114955588374,-319.4973138738963,-0.0003194973138738963,-4.153465080360652,-10.308603272587508
2012,-0.017051865573936592,-0.07200191696877827,0.03860355199075929,-0.017051865573936592,-0.017051865573936592,0.0,0.0,0.0,0.0,0.0,0.0,-0.017051865573936592,-165.5224591262025,-0.0001655224591262025,-2.1517919686406324,-12.46039524122814
2013,-0.0011461579775821833,-0.05274253140502141,0.057838660598161035,-0.0011461579775821833,-0.0011461579775821833,0.0,0.0,0.0,0.0,0.0,0.0,-0.0011461579775821833,-11.12575548839025,-1.112575548839025e-05,-0.14463482134907327,-12.605030062577214
2014,0.014716091402725185,-0.043711961594069676,0.07792107420316369,0.014716091402725185,0.014716091402725185,0.0,0.0,0.0,0.0,0.0,0.0,0.014716091402725185,142.8490992462534,0.0001428490992462534,1.8570382902012943,-10.747991772375919
2015,0.030578340782938637,-0.027772382802979452,0.08432687382113246,0.030578340782938637,0.030578340782938637,0.0,0.0,0.0,0.0,0.0,0.0,0.030578340782938637,296.82395397998533,0.0002968239539799853,3.8587114017398094,-6.88928037063611
2016,0.04644059016739606,-0.010153127730540529,0.10549045086505796,0.04644059016739606,0.04644059016739606,0.0,0.0,0.0,0.0,0.0,0.0,0.04644059016739606,450.7988087549135,0.00045079880875491355,5.860384513813876,-1.028895856822234
2017,0.06234629777069434,0.003528510333344925,0.11766285263142873,0.06234629777069434,0.06234629777069434,0.0,0.0,0.0,0.0,0.0,0.0,0.06234629777069434,605.1955124601299,0.0006051955124601299,7.867541661981688,6.838645805159454
2018,0.0782085471605355,0.023876464520549347,0.13846841893552098,0.0782085471605355,0.0782085471605355,0.0,0.0,0.0,0.0,0.0,0.0,0.0782085471605355,759.1703672873181,0.0007591703672873181,9.869214774735134,16.70786057989459
2019,0.09407079655130414,0.04015306421226237,0.15079193842687272,0.09407079655130414,0.09407079655130414,0.0,0.0,0.0,0.0,0.0,0.0,0.09407079655130414,913.1452221235091,0.0009131452221235091,11.870887887605619,28.57874846750021
2020,0.10993304594351336,0.058599421409079464,0.16697816772320268,0.10993304594351336,0.10993304594351336,0.0,0.0,0.0,0.0,0.0,0.0,0.10993304594351336,1067.120076973684,0.0010671200769736841,13.872561000657894,42.4513094681581
2021,0.1258387535557052,0.06742261243691616,0.17931661992355402,0.1258387535557052,0.1258387535557052,0.0,0.0,0.0,0.0,0.0,0.0,0.1258387535557052,1221.5167807652304,0.0012215167807652304,15.879718149947996,58.3310276181061
2022,0.14170100295037738,0.08757660348756896,0.19260046418088272,0.14170100295037738,0.14170100295037738,0.0,0.0,0.0,0.0,0.0,0.0,0.14170100295037738,1375.4916356393132,0.0013754916356393133,17.881391263311073,76.21241888141716
2023,0.15756325234504956,0.1007458180510917,0.21038951240791187,0.15756325234504956,0.15756325234504956,0.0,0.0,0.0,0.0,0.0,0.0,0.15756325234504956,1529.466490513396,0.001529466490513396,19.883064376674145,96.0954832580913
2023,0.1733820435222021,0.116139132217272,0.23166208490235154,0.17338204339354565,0.173382043647459,0.0,0.0,0.0,0.0,0.0,0.0,0.1733820435222021,1683.0194964700154,0.0016830194964700153,21.8792534541102,117.9747367122015
2024,0.18928775113439394,0.13403411456227263,0.24554508902599093,0.1892877507050404,0.1892877515531684,0.0,0.0,0.0,0.0,0.0,0.0,0.18928775113439394,1837.416200261562,0.001837416200261562,23.886410603400307,141.8611473156018
2025,0.20515000052906615,0.1511984636639313,0.2589921259049019,0.2051499996890143,0.2051500013429765,0.0,0.0,0.0,0.0,0.0,0.0,0.20515000052906615,1991.3910551356453,0.001991391055135645,25.888083716763386,167.7492310323652
2026,0.22101224992373833,0.16954782551611744,0.2775049377662225,0.22101224864463914,0.221012251218738,0.0,0.0,0.0,0.0,0.0,0.0,0.22101224992373833,2145.365910009728,0.002145365910009728,27.889756830126462,195.63898786249166
2027,0.23687449931841056,0.1786206298815581,0.29501170321145176,0.23687449751334702,0.23687450115269754,0.0,0.0,0.0,0.0,0.0,0.0,0.23687449931841056,2299.340764883811,0.002299340764883811,29.891429943489545,225.53041780598122
